candidateId,x,y
2346,0.260,-0.104
2355,0.368,-0.049
2367,0.229,0.093
2371,0.186,0.148
2378,0.020,0.039
2379,0.036,0.052
2384,-0.434,-0.003
2408,-0.197,-0.127
2412,-0.029,-0.231
2420,0.115,-0.043
2421,0.100,0.205
2423,-0.014,0.039
2432,0.003,0.054
2433,-0.040,0.023
2439,-0.239,0.059
2446,0.333,-0.080
2447,0.121,0.040
2465,0.165,0.136
2468,0.130,0.031
2475,0.038,0.036
2477,0.007,-0.031
2481,0.416,-0.153
2482,-0.080,0.132
2494,0.187,0.229
2498,0.166,0.121
2499,-0.101,-0.097
2505,0.053,0.060
2536,-0.190,0.037
2547,-0.096,0.132
2548,0.210,0.181
2551,0.030,0.057
2553,0.154,0.104
2561,-0.133,0.182
2566,-0.191,-0.058
2568,0.132,0.117
2570,-0.191,-0.187
2582,-0.046,-0.133
2586,-0.065,0.055
2593,0.350,-0.028
2596,-0.291,0.032
2601,0.167,0.062
2602,-0.218,0.145
2605,0.240,-0.051
2609,-0.093,0.163
2612,-0.002,-0.050
2620,0.080,0.033
2623,-0.257,0.010
2630,0.215,0.276
2633,0.130,0.228
2640,0.125,0.039
2644,0.327,-0.036
2650,0.448,-0.051
2654,0.211,0.197
2656,-0.012,0.141
2661,0.408,-0.093
2664,0.106,0.112
2665,0.121,0.034
2668,0.216,0.028
2678,0.285,-0.000
2682,0.347,-0.094
2693,-0.110,0.157
2695,0.397,-0.039
2696,-0.343,-0.034
2707,-0.214,-0.023
2709,0.075,0.057
2710,0.023,0.030
2715,0.206,-0.041
2731,-0.378,0.023
2740,-0.062,-0.057
2744,-0.070,-0.038
2750,-0.246,-0.025
2753,0.051,-0.029
2754,0.351,-0.051
2755,0.044,0.111
2756,0.123,0.111
2759,-0.030,0.138
2761,0.107,0.059
2762,-0.177,0.010
2769,-0.097,0.207
2776,0.021,0.089
2785,-0.140,0.145
2786,0.254,0.289
2801,0.187,-0.019
2814,-0.279,-0.006
2821,-0.160,-0.086
2831,0.116,-0.084
2832,0.109,0.124
2833,0.029,0.038
2838,0.108,0.045
2839,-0.135,-0.054
2840,0.030,-0.009
2843,0.187,0.160
2847,0.048,0.016
2867,-0.089,0.125
2868,0.382,-0.058
2869,0.192,-0.019
2875,-0.211,0.019
2879,-0.123,0.017
2888,-0.284,0.054
2890,0.353,-0.078
2893,-0.246,-0.028
2894,0.192,-0.055
2899,0.193,0.246
2907,0.112,0.027
2910,-0.132,0.107
2931,0.127,-0.039
2940,0.050,0.051
2941,0.051,0.088
2942,0.112,0.035
2943,0.088,0.047
2948,0.006,0.058
2956,-0.264,0.035
2968,0.099,0.229
2975,0.337,-0.067
2980,0.288,-0.010
2986,0.269,-0.027
2989,-0.293,0.076
2997,0.421,-0.131
3005,0.017,0.038
3008,0.411,-0.028
3009,0.436,-0.068
3011,-0.314,0.003
3013,-0.156,-0.031
3016,-0.196,0.027
3020,-0.184,-0.016
3025,-0.299,-0.006
3029,0.164,0.072
3035,-0.110,-0.081
3037,0.014,-0.090
3039,-0.256,-0.030
3041,0.016,-0.014
3049,0.304,-0.072
