id,party,color
1688,group-1,#ff7f0e
1714,group-1,#ff7f0e
1719,group-1,#ff7f0e
1720,group-1,#ff7f0e
1730,group-1,#ff7f0e
1743,group-1,#ff7f0e
1750,group-0,#1f77b4
1755,group-1,#ff7f0e
1758,group-1,#ff7f0e
1762,group-1,#ff7f0e
1764,group-1,#ff7f0e
1773,group-1,#ff7f0e
1775,group-1,#ff7f0e
1791,group-1,#ff7f0e
1798,group-1,#ff7f0e
1799,group-1,#ff7f0e
1801,group-1,#ff7f0e
1812,group-1,#ff7f0e
1816,group-1,#ff7f0e
1829,group-1,#ff7f0e
1831,group-1,#ff7f0e
1839,group-1,#ff7f0e
1842,group-1,#ff7f0e
1844,group-1,#ff7f0e
1847,group-1,#ff7f0e
1858,group-1,#ff7f0e
1860,group-1,#ff7f0e
1869,group-1,#ff7f0e
1882,group-1,#ff7f0e
1883,group-1,#ff7f0e
1887,group-0,#1f77b4
1912,group-1,#ff7f0e
1914,group-1,#ff7f0e
1927,group-1,#ff7f0e
1938,group-1,#ff7f0e
1945,group-1,#ff7f0e
1948,group-1,#ff7f0e
1955,group-1,#ff7f0e
1961,group-1,#ff7f0e
1962,group-1,#ff7f0e
1966,group-0,#1f77b4
1968,group-1,#ff7f0e
1980,group-1,#ff7f0e
1990,group-1,#ff7f0e
2008,group-1,#ff7f0e
2013,group-1,#ff7f0e
2016,group-1,#ff7f0e
2022,group-1,#ff7f0e
2027,group-1,#ff7f0e
2035,group-1,#ff7f0e
2039,group-1,#ff7f0e
2049,group-1,#ff7f0e
2057,group-1,#ff7f0e
2062,group-1,#ff7f0e
2063,group-1,#ff7f0e
2070,group-1,#ff7f0e
2072,group-1,#ff7f0e
2078,group-1,#ff7f0e
2082,group-1,#ff7f0e
2090,group-1,#ff7f0e
2092,group-1,#ff7f0e
2096,group-1,#ff7f0e
2098,group-1,#ff7f0e
2099,group-1,#ff7f0e
2115,group-1,#ff7f0e
2132,group-1,#ff7f0e
2133,group-1,#ff7f0e
2136,group-1,#ff7f0e
2138,group-1,#ff7f0e
2140,group-1,#ff7f0e
2144,group-1,#ff7f0e
2159,group-1,#ff7f0e
2163,group-1,#ff7f0e
2169,group-1,#ff7f0e
2181,group-1,#ff7f0e
2190,group-1,#ff7f0e
2202,group-1,#ff7f0e
2207,group-1,#ff7f0e
2218,group-1,#ff7f0e
2222,group-1,#ff7f0e
2228,group-1,#ff7f0e
2239,group-1,#ff7f0e
2253,group-1,#ff7f0e
2284,group-1,#ff7f0e
2285,group-1,#ff7f0e
2298,group-1,#ff7f0e
2317,group-1,#ff7f0e
2320,group-1,#ff7f0e
2326,group-1,#ff7f0e
2331,group-1,#ff7f0e
2354,group-1,#ff7f0e
2365,group-1,#ff7f0e
2376,group-1,#ff7f0e
2385,group-1,#ff7f0e
2386,group-1,#ff7f0e
2389,group-1,#ff7f0e
2401,group-1,#ff7f0e
2409,group-1,#ff7f0e
2417,group-1,#ff7f0e
2425,group-1,#ff7f0e
2435,group-1,#ff7f0e
2436,group-1,#ff7f0e
2461,group-1,#ff7f0e
2465,group-0,#1f77b4
2476,group-0,#1f77b4
2477,group-0,#1f77b4
2500,group-1,#ff7f0e
2503,group-1,#ff7f0e
2507,group-1,#ff7f0e
