candidateId,x,y
2499,-0.207,-0.226
2505,0.100,0.130
2536,-0.383,0.073
2547,-0.194,0.288
2548,0.414,0.410
2551,0.055,0.123
2553,0.301,0.231
2561,-0.268,0.397
2566,-0.385,-0.142
2568,0.256,0.261
2570,-0.387,-0.434
2582,-0.098,-0.307
2586,-0.134,0.116
2593,0.690,-0.059
2596,-0.587,0.059
2601,0.326,0.139
2602,-0.439,0.314
2605,0.471,-0.115
2609,-0.188,0.356
2612,-0.010,-0.118
2620,0.152,0.070
2623,-0.518,0.010
2630,0.422,0.619
2633,0.255,0.511
2640,0.242,0.085
2644,0.646,-0.080
2650,0.812,-0.103
2654,0.415,0.446
2656,-0.028,0.311
2661,0.771,-0.202
2664,0.206,0.248
2665,0.234,0.074
2668,0.424,0.063
2678,0.564,0.002
2682,0.682,-0.210
2693,-0.222,0.343
2695,0.759,-0.083
2696,-0.689,-0.092
2707,-0.431,-0.064
2709,0.144,0.123
2710,0.039,0.062
2715,0.404,-0.092
2731,-0.748,0.036
2740,-0.129,-0.136
2744,-0.144,-0.093
2750,-0.496,-0.070
2753,0.096,-0.069
2754,0.690,-0.112
2755,0.082,0.245
2756,0.238,0.247
2759,-0.063,0.303
2761,0.206,0.130
2762,-0.357,0.011
2769,-0.196,0.456
2776,0.036,0.194
2785,-0.283,0.318
2786,0.498,0.647
2801,0.366,-0.044
2814,-0.562,-0.027
2821,-0.324,-0.205
2831,0.223,-0.191
2832,0.212,0.277
2833,0.052,0.081
2838,0.208,0.099
2839,-0.274,-0.131
2840,0.053,-0.024
2843,0.368,0.361
2847,0.090,0.032
2867,-0.181,0.271
2868,0.738,-0.127
2869,0.374,-0.043
2875,-0.424,0.030
2879,-0.249,0.029
2888,-0.573,0.109
2890,0.693,-0.173
2893,-0.495,-0.076
2894,0.374,-0.124
2899,0.380,0.553
2907,0.216,0.058
2910,-0.265,0.232
2931,0.244,-0.091
2940,0.094,0.110
2941,0.095,0.193
2942,0.216,0.076
2943,0.169,0.102
2948,0.007,0.124
2956,-0.532,0.065
2968,0.192,0.510
2975,0.665,-0.151
2980,0.570,-0.020
2986,0.531,-0.060
2989,-0.590,0.158
2997,0.785,-0.282
3005,0.028,0.081
3008,0.776,-0.059
3009,0.800,-0.143
3011,-0.633,-0.008
3013,-0.316,-0.080
3016,-0.394,0.050
3020,-0.371,-0.046
3025,-0.602,-0.029
3029,0.320,0.161
3035,-0.224,-0.191
3037,0.021,-0.206
3039,-0.516,-0.081
3041,0.027,-0.037
3049,0.603,-0.162
3052,0.035,0.104
3053,0.078,0.014
3054,-0.384,-0.059
3059,0.614,-0.040
3063,0.444,-0.049
3064,0.777,-0.137
3077,0.151,0.075
3080,0.634,-0.072
3084,0.416,0.135
3086,0.771,-0.269
3089,-0.232,0.492
3090,0.143,-0.022
3094,0.070,0.024
3095,0.640,-0.051
3106,0.186,0.176
3113,0.585,-0.018
3115,-0.309,-0.048
3118,-0.112,-0.451
3124,0.355,-0.023
3126,-0.558,-0.218
3128,-0.539,0.013
3131,0.107,-0.119
3133,-0.600,-0.157
3134,0.142,0.249
3139,-0.013,0.173
3151,0.330,0.423
3158,0.019,0.237
3161,0.618,0.031
3188,0.548,0.007
3189,-0.237,0.340
3200,0.762,-0.041
3204,0.078,0.175
3205,-0.031,-0.149
3214,0.593,-0.078
3228,0.202,0.047
3235,-0.426,-0.234
3244,-0.100,0.432
3245,0.516,0.087
3248,0.270,0.331
3249,0.360,0.272
3255,0.359,0.051
3260,-0.675,0.118
3262,-0.521,-0.101
3263,0.166,0.020
3266,0.037,0.152
3273,0.566,0.037
3285,0.126,0.157
3293,0.296,0.512
3295,0.704,-0.084
3300,0.758,-0.171
3301,0.532,0.019
3308,-0.122,-0.079
3309,-0.150,-0.095
3310,0.425,0.049
3312,0.618,-0.237
3316,0.105,0.048
3326,-0.011,0.082
3330,0.490,0.101
3348,0.201,0.511
3349,-0.669,0.016
3363,-0.073,-0.430
3365,0.260,0.138
3367,0.275,0.474
3372,-0.501,-0.062
3373,-0.042,0.583
3375,0.053,0.114
3376,0.443,0.065
3382,0.002,0.074
3383,-0.220,-0.034
3389,-0.485,-0.073
3392,0.374,0.571
3398,0.050,0.008
3406,0.226,0.089
3418,0.540,-0.204
3424,0.404,0.134
3438,-0.506,-0.250
3440,0.213,0.160
3448,0.150,0.135
3450,0.454,0.206
3451,-0.047,-0.006
3469,0.191,0.391
3474,0.314,0.025
3481,0.187,-0.022
3484,-0.321,-0.098
3485,-0.311,0.066
3493,0.330,0.509
3494,0.602,-0.230
3500,0.225,0.358
3503,0.219,0.081
3529,0.506,0.643
3532,0.091,0.198
3535,0.000,-0.045
3555,-0.491,-0.064
3561,0.080,-0.110
3565,0.766,-0.188
3572,0.552,-0.153
3574,0.145,-0.133
3581,-0.328,0.498
3585,0.115,0.525
3592,0.304,0.338
3593,0.321,0.004
3596,0.163,0.087
3603,0.439,0.433
3604,0.055,0.078
3608,0.615,0.305
3633,0.601,-0.581
3639,0.220,0.159
3645,0.283,0.488
3647,0.288,0.428
3648,0.750,-0.117
3649,-0.426,-0.262
3655,-0.066,0.587
3656,0.098,0.049
3660,0.691,-0.167
3665,0.239,0.426
3666,0.065,0.211
3675,0.378,0.056
3682,0.015,-0.126
3689,-0.124,-0.222
3694,0.135,0.359
3697,-0.386,-0.221
3701,0.071,0.174
3703,-0.057,-0.075
3706,0.330,0.442
3709,0.397,0.103
3719,0.330,0.483
3720,0.036,0.139
3728,-0.055,0.338
3729,0.102,0.058
3741,-0.172,-0.310
3749,0.231,0.220
3755,-0.230,-0.041
3758,0.594,-0.087
3760,0.133,-0.013
3761,0.038,0.054
3786,0.586,0.058
3796,0.100,-0.012
3798,0.120,0.146
3819,-0.084,-0.005
3829,0.701,-0.266
3838,0.759,-0.238
3846,0.279,0.249
3847,0.758,-0.159
3856,-0.055,-0.121
3863,0.084,0.218
3883,0.124,-0.006
3885,-0.198,0.036
3897,-0.083,0.062
3898,-0.599,-0.056
3900,0.107,0.470
3908,0.157,0.000
3911,0.691,-0.167
3912,-0.499,-0.078
3932,0.567,0.145
3934,0.039,0.175
3951,0.115,-0.055
3953,0.751,-0.192
3958,-0.282,0.159
3961,0.199,0.366
3967,0.685,-0.120
3974,-0.622,-0.182
3975,0.508,-0.094
3982,-0.181,-0.022
3984,0.722,0.005
3998,-0.231,0.274
4000,0.209,0.114
4003,0.061,0.096
4012,-0.331,0.057
4025,0.014,-0.026
4029,-0.472,-0.085
4030,0.125,0.150
4033,0.075,0.091
4037,-0.473,-0.080
4038,0.002,-0.027
4049,0.518,-0.062
4062,0.108,0.278
4065,0.095,-0.037
4083,0.177,0.105
4097,-0.230,-0.013
4099,-0.326,0.089
4100,0.441,0.008
4119,-0.077,0.201
4120,0.106,0.285
4122,-0.430,-0.050
4127,0.124,0.247
4138,-0.431,-0.369
4139,0.470,0.682
4146,0.661,0.244
4149,-0.387,-0.323
4153,-0.208,-0.244
4156,-0.510,-0.029
4160,0.420,-0.106
4161,0.204,0.069
4164,0.310,0.536
4167,0.287,-0.232
4169,-0.407,0.117
4176,0.295,0.060
4179,0.714,-0.040
4183,0.739,-0.209
4184,0.404,0.314
4186,0.615,-0.080
4202,-0.138,0.259
4218,0.186,-0.010
4225,0.497,-0.495
4226,-0.062,0.125
4240,0.761,-0.144
4249,0.058,-0.048
4257,0.395,0.257
4299,0.156,0.137
4312,-0.257,0.376
4316,0.172,0.262
4319,-0.185,0.240
4321,0.366,-0.263
4322,0.204,0.149
4324,0.107,0.196
4325,0.135,0.290
4338,-0.027,0.246
4345,0.131,0.166
4359,-0.258,-0.205
4362,0.348,-0.317
4368,0.183,0.545
4371,0.411,-0.091
4396,0.412,0.064
4406,-0.257,-0.070
4412,0.288,0.443
4417,0.723,-0.062
4423,0.753,-0.172
4438,-0.625,-0.173
4442,0.111,-0.021
4444,0.602,0.027
4454,0.146,0.072
4455,0.140,0.221
4456,-0.159,0.706
4459,0.474,-0.096
4463,-0.071,-0.082
4470,0.465,-0.233
4475,-0.593,-0.120
4484,0.733,-0.144
4488,0.079,-0.156
4489,-0.011,0.034
4491,0.203,0.063
4500,0.558,-0.091
4504,0.577,0.033
4506,-0.229,0.659
4512,0.696,-0.262
4520,0.202,0.172
4535,-0.112,-0.225
4538,0.727,-0.231
4539,0.190,0.293
4543,0.683,-0.227
4547,0.360,0.150
4554,-0.328,0.034
4557,0.045,0.175
4571,0.082,0.043
4600,0.097,0.131
4611,0.183,0.317
4617,0.449,0.515
4622,0.106,0.164
4627,0.168,0.075
4628,-0.130,-0.489
4637,-0.642,-0.250
4639,0.373,-0.059
4640,0.179,0.327
4641,-0.217,0.290
4643,-0.359,-0.144
4649,0.098,0.135
4651,0.725,-0.105
4655,-0.080,0.023
4662,0.715,-0.302
4663,0.003,0.116
4665,-0.102,-0.127
4672,-0.050,0.015
4673,0.230,0.440
4679,0.544,-0.163
4689,0.045,0.110
4696,0.564,-0.056
4699,0.306,0.310
4701,0.016,-0.013
4702,0.443,0.123
4703,0.692,-0.297
4710,0.335,0.316
4723,-0.041,-0.068
4725,0.494,-0.039
4732,-0.061,-0.053
4747,0.152,0.140
4757,0.313,0.384
4761,0.477,0.532
4765,-0.358,0.002
4780,-0.293,0.422
4787,-0.214,-0.126
4794,-0.063,0.138
4796,0.060,0.020
4804,-0.283,0.122
4807,0.534,-0.080
4808,0.210,0.447
4809,0.633,-0.182
4814,0.184,-0.035
4822,-0.081,-0.163
4825,0.112,0.168
4826,-0.415,0.390
4829,0.673,-0.372
4838,-0.119,-0.256
4846,0.021,0.116
4858,0.689,-0.062
4861,-0.299,0.087
4866,0.279,-0.023
4877,-0.495,-0.083
4883,0.057,0.140
4884,0.064,0.107
4885,0.574,0.087
4890,0.219,0.364
4897,0.365,0.403
4900,0.120,0.034
4927,-0.546,-0.023
4929,0.287,0.093
4937,0.434,0.624
4942,0.173,0.306
4948,0.792,-0.054
4951,0.223,0.093
4952,-0.003,-0.048
4953,0.111,0.462
4954,0.054,0.204
4963,0.675,-0.271
4964,-0.521,-0.080
4965,0.646,-0.195
4972,-0.562,-0.152
4975,0.116,0.199
4987,0.259,0.136
4988,-0.159,0.440
4991,-0.473,0.175
5003,0.332,0.523
5016,0.237,0.143
5017,0.423,0.583
5027,0.459,0.028
5040,0.065,0.456
5045,0.218,-0.055
5046,0.300,0.003
5049,0.186,0.009
5062,0.540,-0.543
5065,0.403,0.337
5072,-0.227,0.024
5073,0.291,0.050
5075,0.277,0.113
5076,0.584,-0.129
5080,-0.228,-0.033
5088,0.414,0.434
