respondentId,party,color
9215,RS,#c17541
9216,GB,#7fa047
9217,DK,#6b8e57
9218,FI,#2b8384
9219,AM,#d1322e
9220,FR,#b49f44
9221,AM,#d1322e
9222,PL,#867f57
9223,ES,#eeb33e
9224,CH,#b19246
9225,NL,#8c974b
9226,RU,#61667a
9227,RO,#b06e48
9228,DK,#6b8e57
9229,CZ,#97854f
9230,MK,#d0733c
9231,HR,#bc8144
9232,AT,#ae8648
9233,IT,#ce893f
9234,BG,#c66a3e
9235,AT,#ae8648
9236,AL,#d87539
9237,RS,#c17541
9238,NL,#8c974b
9239,GB,#7fa047
9240,IS,#2ca02c
9241,NO,#3d8e61
9242,HU,#ac7c49
9243,AL,#d87539
9244,HU,#ac7c49
9245,DE,#918e4e
9246,HR,#bc8144
9247,PL,#867f57
9248,FR,#b49f44
9249,HU,#ac7c49
9250,RS,#c17541
9251,BG,#c66a3e
9252,EE,#507d73
9253,GB,#7fa047
9254,IS,#2ca02c
9255,NO,#3d8e61
9256,NO,#3d8e61
9257,BG,#c66a3e
9258,ES,#eeb33e
9259,AT,#ae8648
9260,AL,#d87539
9261,NO,#3d8e61
9262,NO,#3d8e61
9263,IT,#ce893f
9264,AL,#d87539
9265,CZ,#97854f
9266,CH,#b19246
9267,AT,#ae8648
9268,ES,#eeb33e
9269,CH,#b19246
9270,PL,#867f57
9271,HR,#bc8144
9272,CH,#b19246
9273,IT,#ce893f
9274,DK,#6b8e57
9275,RU,#61667a
9276,DK,#6b8e57
9277,AZ,#cf2a2d
9278,DK,#6b8e57
9279,IT,#ce893f
9280,BY,#7b7261
9281,IS,#2ca02c
9282,CH,#b19246
9283,GE,#c43d39
9284,GB,#7fa047
9285,NL,#8c974b
9286,GE,#c43d39
9287,NL,#8c974b
9288,IS,#2ca02c
9289,IT,#ce893f
9290,BA,#c37c41
9291,FR,#b49f44
9292,NL,#8c974b
9293,NO,#3d8e61
9294,AT,#ae8648
9295,NL,#8c974b
9296,EE,#507d73
9297,HU,#ac7c49
9298,FR,#b49f44
9299,DK,#6b8e57
9300,GB,#7fa047
9301,NL,#8c974b
9302,CH,#b19246
9303,BA,#c37c41
9304,AL,#d87539
9305,NL,#8c974b
9306,DE,#918e4e
9307,AT,#ae8648
9308,NL,#8c974b
9309,DK,#6b8e57
9310,CZ,#97854f
9311,RS,#c17541
9312,RU,#61667a
9313,AZ,#cf2a2d
9314,AM,#d1322e
9315,RO,#b06e48
9316,NL,#8c974b
9317,MK,#d0733c
9318,HR,#bc8144
9319,DE,#918e4e
9320,AM,#d1322e
9321,BA,#c37c41
9322,BG,#c66a3e
9323,NL,#8c974b
9324,HR,#bc8144
9325,HR,#bc8144
9326,CH,#b19246
9327,AL,#d87539
9328,LT,#6e7a64
9329,IT,#ce893f
9330,NL,#8c974b
9331,BA,#c37c41
9332,DE,#918e4e
9333,AZ,#cf2a2d
9334,MK,#d0733c
9335,SI,#b58346
9336,FI,#2b8384
9337,FI,#2b8384
9338,FI,#2b8384
9339,SE,#3c8a6a
9340,AL,#d87539
9341,BY,#7b7261
9342,NL,#8c974b
9343,CH,#b19246
9344,GE,#c43d39
9345,LT,#6e7a64
9346,IS,#2ca02c
9347,NL,#8c974b
9348,NO,#3d8e61
9349,NL,#8c974b
9350,SK,#9d7d4f
9351,FR,#b49f44
9352,CH,#b19246
9353,ES,#eeb33e
9354,RO,#b06e48
9355,GB,#7fa047
9356,MK,#d0733c
9357,CH,#b19246
9358,SK,#9d7d4f
9359,PL,#867f57
9360,BY,#7b7261
9361,AT,#ae8648
9362,CH,#b19246
9363,FR,#b49f44
9364,PT,#f8bf3f
9365,IT,#ce893f
9366,BY,#7b7261
9367,SK,#9d7d4f
9368,IT,#ce893f
9369,SE,#3c8a6a
9370,BG,#c66a3e
9371,GB,#7fa047
9372,BG,#c66a3e
9373,FR,#b49f44
9374,EE,#507d73
9375,GB,#7fa047
9376,AZ,#cf2a2d
9377,PL,#867f57
9378,RO,#b06e48
9379,GE,#c43d39
9380,RU,#61667a
9381,SK,#9d7d4f
9382,GE,#c43d39
9383,AT,#ae8648
9384,LT,#6e7a64
9385,GE,#c43d39
9386,GB,#7fa047
9387,MK,#d0733c
9388,RO,#b06e48
9389,CH,#b19246
9390,CH,#b19246
9391,AM,#d1322e
9392,AZ,#cf2a2d
9393,IT,#ce893f
9394,AT,#ae8648
9395,DK,#6b8e57
9396,BY,#7b7261
9397,RS,#c17541
9398,PL,#867f57
9399,CH,#b19246
9400,BY,#7b7261
9401,HR,#bc8144
9402,EE,#507d73
9403,CZ,#97854f
9404,CZ,#97854f
9405,AZ,#cf2a2d
9406,AM,#d1322e
9407,IS,#2ca02c
9408,AT,#ae8648
9409,SI,#b58346
9410,CH,#b19246
9411,GE,#c43d39
9412,NL,#8c974b
9413,DK,#6b8e57
9414,BY,#7b7261
9415,AT,#ae8648
9416,HU,#ac7c49
9417,GE,#c43d39
9418,IS,#2ca02c
9419,MK,#d0733c
9420,IT,#ce893f
9421,SK,#9d7d4f
9422,DK,#6b8e57
9423,CH,#b19246
9424,SE,#3c8a6a
9425,DK,#6b8e57
9426,FI,#2b8384
9427,CH,#b19246
9428,PL,#867f57
9429,AM,#d1322e
9430,DK,#6b8e57
9431,FR,#b49f44
9432,DK,#6b8e57
9433,DK,#6b8e57
9434,DK,#6b8e57
9435,DK,#6b8e57
9436,BY,#7b7261
9437,AM,#d1322e
9438,AZ,#cf2a2d
9439,HR,#bc8144
9440,RO,#b06e48
9441,AZ,#cf2a2d
9442,GB,#7fa047
9443,DK,#6b8e57
9444,NL,#8c974b
9445,GE,#c43d39
9446,AL,#d87539
9447,RO,#b06e48
9448,RS,#c17541
9449,DK,#6b8e57
9450,CH,#b19246
9451,AT,#ae8648
9452,IT,#ce893f
9453,RO,#b06e48
9454,BG,#c66a3e
9455,IS,#2ca02c
9456,FR,#b49f44
9457,NL,#8c974b
9458,NO,#3d8e61
9459,BY,#7b7261
9460,GB,#7fa047
9461,DK,#6b8e57
9462,SK,#9d7d4f
9463,GB,#7fa047
9464,EE,#507d73
9465,MK,#d0733c
9466,FR,#b49f44
9467,RO,#b06e48
9468,DK,#6b8e57
9469,CH,#b19246
9470,AT,#ae8648
9471,NL,#8c974b
9472,NL,#8c974b
9473,CH,#b19246
